Property : optional getter : optional setter	Label	Section	Editor	User Visible	Read Only	Group	Default	Options	Subsection	min	max	step						
-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----						
alwaysBuffer	Buffer	Basic	com.livecode.pi.boolean	TRUE	FALSE		FALSE											
angle	Rotation	Basic	com.livecode.pi.number	TRUE	FALSE		0			0	359	1						
antialiased	Antialiased	Basic	com.livecode.pi.boolean	TRUE	FALSE													
arcAngle	Arc	Basic	com.livecode.pi.number	TRUE	FALSE					0	360	1						
armedIcon	Armed icon	Icons	com.livecode.pi.imageid	TRUE	FALSE		0											
autoHilite	Auto hilite	Basic	com.livecode.pi.boolean	TRUE	FALSE													
autoTab	Tab on return	Basic	com.livecode.pi.boolean	TRUE	FALSE													
backgroundBehavior	Behave like a background	Basic	com.livecode.pi.boolean	TRUE	FALSE		FALSE											
backgroundColor	Fill color	Colors	com.livecode.pi.color	TRUE	FALSE	Background fill												
backgroundPattern	Fill pattern	Colors	com.livecode.pi.pattern	TRUE	FALSE	Background fill												
basicTableObject:revIDEGetTableProperty:revIDESetTableProperty	Basic table object	Table	com.livecode.pi.boolean	TRUE	FALSE		FALSE											
behavior	Behavior	Advanced	com.livecode.pi.script	TRUE	FALSE													
blendLevel	Blend level	Colors	com.livecode.pi.number	TRUE	FALSE					0	100	1						
borderColor	Border/grid color	Colors	com.livecode.pi.color	TRUE	FALSE	Border fill												
borderPattern	Border/grid pattern	Colors	com.livecode.pi.pattern	TRUE	FALSE	Border fill												
borderWidth	Border width	Basic	com.livecode.pi.integer	TRUE	FALSE					0		1						
bottom::revIDESetRectProperty	Bottom	Position	com.livecode.pi.integer	TRUE	FALSE		no_default					1						
bottomColor	Inset bevel color	Colors	com.livecode.pi.color	TRUE	FALSE	Bottom bevel fill												
bottomPattern	Inset bevel pattern	Colors	com.livecode.pi.pattern	TRUE	FALSE	Bottom bevel fill												
boundingRect	Bounding rect	Basic	com.livecode.pi.string	TRUE	FALSE													
callbacks	Callbacks	Callbacks	com.livecode.pi.string	TRUE	FALSE													
cantAbort	User can't abort scripts	Basic	com.livecode.pi.boolean	TRUE	FALSE		FALSE											
cantDelete	Can't delete	Basic	com.livecode.pi.boolean	TRUE	FALSE		FALSE											
cantModify	Can't modify	Basic	com.livecode.pi.boolean	TRUE	FALSE		FALSE											
cellEdit:revIDEGetTableProperty:revIDESetTableProperty	Cell editing	Table	com.livecode.pi.boolean	TRUE	FALSE		FALSE											
cellFormat:revIDEGetTableProperty:revIDESetTableProperty	Cell formatting	Table	com.livecode.pi.boolean	TRUE	FALSE		FALSE											
clipsToRect	Clip child controls to rect	Position	com.livecode.pi.boolean	TRUE	FALSE		FALSE											
colorOverlay	Color overlay	Effects	com.livecode.pi.graphicEffect	TRUE	FALSE			"popup:effectColor,effectBlendMode"										
currentFrame	Frame	Basic	com.livecode.pi.integer	TRUE	FALSE		1			1		1						
currentNode	Current node	Quicktime	com.livecode.pi.string	TRUE	FALSE													
currentTime	Time	Basic	com.livecode.pi.integer	TRUE	FALSE		0			0		1						
customProperties:revIDECustomPropertiesGet:revIDECustomPropertiesSet	Custom Properties	Custom	com.livecode.pi.customprops	TRUE	FALSE		no_default											
darkMode	Dark Mode	Basic	com.livecode.pi.boolean	TRUE	FALSE													
dashes	Dashed lines	Basic	com.livecode.pi.string	TRUE	FALSE													
decorations	Controls	Basic	com.livecode.pi.decorations	TRUE	FALSE													
default	Default button	Basic	com.livecode.pi.boolean	TRUE	FALSE													
destroyStack	Purge stack on close	Basic	com.livecode.pi.boolean	TRUE	FALSE		FALSE											
destroyWindow	Purge window on close	Basic	com.livecode.pi.boolean	TRUE	FALSE		FALSE											
disabled	Disabled	Basic	com.livecode.pi.boolean	TRUE	FALSE		FALSE											
disabledIcon	Disabled icon	Icons	com.livecode.pi.imageid	TRUE	FALSE		0											
dontDither	Don't dither	Basic	com.livecode.pi.boolean	TRUE	FALSE		FALSE											
dontSearch	Don't search	Basic	com.livecode.pi.boolean	TRUE	FALSE		FALSE											
dontWrap	Don't wrap	Basic	com.livecode.pi.boolean	TRUE	FALSE													
dropShadow	Drop shadow	Effects	com.livecode.pi.graphicEffect	TRUE	FALSE			"popup:effectColor,effectBlendMode,effectFilter,effectSize,effectSpread,effectDistance,effectAngle"										
effectAngle	Angle	Effects	com.livecode.pi.number	TRUE	FALSE					0	360	1						
effectBlendMode	Blend mode	Effects	com.livecode.pi.enum	TRUE	FALSE		normal	"normal,multiply,colorDodge"										
effectColor	Color	Effects	com.livecode.pi.colorwithalpha	TRUE	FALSE		"0,0,0,255"											
effectDistance	Distance	Effects	com.livecode.pi.number	TRUE	FALSE		3			0	359	1						
effectFilter	Filter	Effects	com.livecode.pi.enum	TRUE	FALSE		box3pass	"gaussian,box3pass,box2pass,box1pass"										
effectSize	Size	Effects	com.livecode.pi.number	TRUE	FALSE		3			0	255	1						
effectSpread	Spread	Effects	com.livecode.pi.number	TRUE	FALSE		0			0	255	1						
enabledTracks	Track is enabled	Tracks	com.livecode.pi.text	TRUE	TRUE													
endArrow	End arrow	Basic	com.livecode.pi.boolean	TRUE	FALSE		FALSE											
endTime	End	Basic	com.livecode.pi.integer	TRUE	FALSE					0		1						
endValue	End value	Basic	com.livecode.pi.number	TRUE	FALSE		100					1						
externals	External references	externalRefs	com.livecode.pi.text	TRUE	FALSE													
filename	Source	Basic	com.livecode.pi.file	TRUE	FALSE													
fillGradient::revIDESetGradientProperty	Fill gradient	Colors	com.livecode.pi.gradient	TRUE	FALSE			"popup:gradientType,gradientRamp,gradientQuality,gradientRepeat,gradientMirror,gradientWrap"										
firstIndent	First indent	Basic	com.livecode.pi.integer	TRUE	FALSE		0					1						
fixedLineHeight	Fixed line height	Text	com.livecode.pi.boolean	TRUE	FALSE		FALSE											
focusBorder	Focus border	Basic	com.livecode.pi.boolean	TRUE	FALSE													
focusColor	Focus color	Colors	com.livecode.pi.color	TRUE	FALSE	Focus fill												
focusPattern	Focus pattern	Colors	com.livecode.pi.pattern	TRUE	FALSE	Focus fill												
foregroundColor	Text color	Colors	com.livecode.pi.color	TRUE	FALSE	Foreground fill												
foregroundPattern	Text pattern	Colors	com.livecode.pi.pattern	TRUE	FALSE	Foreground fill												
formatForPrinting	Format for printing	Basic	com.livecode.pi.boolean	TRUE	FALSE													
gradientType	Type	Gradients	com.livecode.pi.enum	TRUE	FALSE		No Gradient	"No Gradient,Linear,Radial,Conical,Diamond,Spiral,XY,SqrtXY"										
gradientRamp	Ramp	Gradients	com.livecode.pi.gradientramp	TRUE	FALSE													
gradientFrom	From	Gradients	com.livecode.pi.number	TRUE	FALSE													
gradientTo	To	Gradients	com.livecode.pi.number	TRUE	FALSE													
gradientVia	Via	Gradients	com.livecode.pi.number	TRUE	FALSE													
gradientQuality	Quality	Gradients	com.livecode.pi.enum	TRUE	FALSE		Normal	"Normal,Good"										
gradientRepeat	Repeat	Gradients	com.livecode.pi.integer	TRUE	FALSE		0					1						
gradientMirror	Mirror	Gradients	com.livecode.pi.boolean	TRUE	FALSE		FALSE											
gradientWrap	Wrap	Gradients	com.livecode.pi.boolean	TRUE	FALSE		FALSE											
height	Height	Position	com.livecode.pi.integer	TRUE	FALSE					1		1						
hGrid	Horizontal grid	Table	com.livecode.pi.boolean	TRUE	FALSE													
hilited	Hilited	Basic	com.livecode.pi.boolean	TRUE	FALSE		FALSE											
hiliteBorder	Hilite border	Icons	com.livecode.pi.boolean	TRUE	FALSE													
hiliteColor	Text hilite color	Colors	com.livecode.pi.color	TRUE	FALSE	Hilite fill												
hiliteIcon	Hilite icon	Icons	com.livecode.pi.imageid	TRUE	FALSE		0											
hilitePattern	Text hilite pattern	Colors	com.livecode.pi.pattern	TRUE	FALSE	Hilite fill												
hotspot	Hotspot	Basic	com.livecode.pi.point	TRUE	FALSE													
hotspots	Hotspots	Quicktime	com.livecode.pi.string	TRUE	TRUE													
